aspiration,drive_wheels,engine_location,width,height,cylinders,engine_size,bore,stroke,rpm_peak,price
0,1,0,66.5,55.5,2,122,3.39,3.39,4800.0,10245
0,1,0,66.5,55.5,2,122,3.39,3.39,4800.0,11245
0,2,0,66.1,54.4,2,140,3.76,3.16,5000.0,18280
0,2,0,66.1,54.4,2,134,3.43,3.64,4200.0,18344
1,2,0,70.3,56.5,1,183,3.58,3.64,4350.0,25552
1,2,0,70.3,58.7,1,183,3.58,3.64,4350.0,28248
1,2,0,70.3,54.9,1,183,3.58,3.64,4350.0,28176
1,2,0,71.7,56.3,1,183,3.58,3.64,4350.0,31600
0,2,0,71.7,56.5,0,234,3.46,3.1,4750.0,34184
0,2,0,70.5,50.8,0,234,3.46,3.1,4750.0,35056
0,2,0,71.7,56.7,0,308,3.8,3.35,4500.0,40960
0,2,0,72.0,55.4,0,304,3.8,3.35,4500.0,45400
1,2,0,68.0,54.8,2,140,3.78,3.12,5000.0,16503
0,1,0,64.4,50.8,2,92,2.97,3.23,5500.0,5389
0,1,0,64.4,50.8,2,92,2.97,3.23,5500.0,6189
0,1,0,64.4,50.8,2,92,2.97,3.23,5500.0,6669
1,1,0,63.8,50.8,2,98,3.03,3.39,5500.0,7689
1,1,0,65.4,49.4,2,110,3.17,3.46,5500.0,9959
0,1,0,65.4,49.4,2,122,3.35,3.46,5000.0,8499
1,1,0,66.3,50.2,2,156,3.58,3.86,5000.0,12629
1,1,0,66.3,50.2,2,156,3.59,3.86,5000.0,14869
1,1,0,66.3,50.2,2,156,3.59,3.86,5000.0,14489
0,1,0,65.4,51.6,2,122,3.35,3.46,5000.0,6989
0,1,0,65.4,51.6,2,122,3.35,3.46,5000.0,8189
1,1,0,65.4,51.6,2,110,3.17,3.46,5500.0,9279
0,1,0,65.4,51.6,2,110,3.17,3.46,5500.0,9279
0,1,0,63.8,54.5,2,97,3.15,3.29,5200.0,5499
0,1,0,63.8,54.5,2,103,2.99,3.47,4800.0,7099
0,1,0,63.8,54.5,2,97,3.15,3.29,5200.0,6649
0,1,0,63.8,54.5,2,97,3.15,3.29,5200.0,6849
0,1,0,63.8,53.5,2,97,3.15,3.29,5200.0,7349
0,1,0,63.8,54.5,2,97,3.15,3.29,5200.0,7299
0,1,0,63.8,53.3,2,97,3.15,3.29,5200.0,7799
0,1,0,63.8,54.5,2,97,3.15,3.29,5200.0,7499
0,1,0,63.8,53.5,2,97,3.15,3.29,5200.0,7999
0,1,0,63.8,53.3,2,97,3.15,3.29,5200.0,8249
0,1,0,65.2,54.7,2,120,3.33,3.47,5200.0,8949
0,1,0,65.2,54.7,2,120,3.33,3.47,5200.0,9549
0,1,0,66.5,55.1,3,181,3.43,3.27,5200.0,13499
0,1,0,66.5,56.1,3,181,3.43,3.27,5200.0,14399
0,1,0,66.5,55.1,3,181,3.43,3.27,5200.0,13499
0,2,0,67.9,49.7,3,181,3.43,3.27,5200.0,17199
1,2,0,67.9,49.7,3,181,3.43,3.27,5200.0,19699
0,2,0,67.9,49.7,3,181,3.43,3.27,5200.0,18399
0,2,0,68.4,56.7,2,120,3.46,3.19,5000.0,11900
1,2,0,68.4,56.7,2,152,3.7,3.52,4150.0,13200
0,2,0,68.4,58.7,2,120,3.46,3.19,5000.0,12440
1,2,0,68.4,58.7,2,152,3.7,3.52,4150.0,13860
0,2,0,68.4,56.7,2,120,3.46,2.19,5000.0,15580
1,2,0,68.4,56.7,2,152,3.7,3.52,4150.0,16900
0,2,0,68.4,56.7,2,120,3.46,2.19,5000.0,16695
1,2,0,68.4,58.7,2,152,3.7,3.52,4150.0,17075
0,2,0,68.4,56.7,2,120,3.46,3.19,5000.0,16630
1,2,0,68.4,56.7,2,152,3.7,3.52,4150.0,17950
1,2,0,68.3,56.0,2,134,3.61,3.21,5600.0,18150
0,1,0,63.8,50.8,2,90,2.97,3.23,5500.0,5572
1,1,0,63.8,50.8,2,98,3.03,3.39,5500.0,7957
0,1,0,63.8,50.6,2,90,2.97,3.23,5500.0,6229
0,1,0,63.8,50.8,2,90,2.97,3.23,5500.0,6692
0,1,0,63.8,50.8,2,98,2.97,3.23,5500.0,7609
0,1,0,64.6,59.8,2,122,3.35,3.46,5000.0,8921
1,2,0,66.3,50.2,2,156,3.59,3.86,5000.0,12764
0,2,0,68.3,50.2,2,151,3.94,3.11,5500.0,22018
0,2,1,65.0,51.6,3,194,3.74,2.9,5900.0,32528
0,2,1,65.0,51.6,3,194,3.74,2.9,5900.0,34028
0,2,1,65.0,51.6,3,194,3.74,2.9,5900.0,37028
0,1,0,66.5,56.1,2,121,3.54,3.07,5250.0,11850
0,1,0,66.5,56.1,2,121,3.54,3.07,5250.0,12170
0,1,0,66.5,56.1,2,121,2.54,2.07,5250.0,15040
0,1,0,66.5,56.1,2,121,3.54,3.07,5250.0,15510
1,1,0,66.5,56.1,2,121,3.54,3.07,5500.0,18150
1,1,0,66.5,56.1,2,121,3.54,3.07,5500.0,18620
0,1,0,63.4,53.7,2,97,3.62,2.36,4900.0,5118
0,1,0,63.6,53.7,2,108,3.62,2.64,4400.0,7053
0,0,0,63.8,55.7,2,108,3.62,2.64,4400.0,7603
0,1,0,65.4,52.5,2,108,3.62,2.64,4800.0,7126
0,1,0,65.4,52.5,2,108,3.62,2.64,4400.0,7775
0,1,0,65.4,52.5,2,108,3.62,2.64,5200.0,9960
0,0,0,65.4,54.3,2,108,3.62,2.64,4800.0,9233
1,0,0,65.4,54.3,2,108,3.62,2.64,4800.0,11259
0,1,0,65.4,53.0,2,108,3.62,2.64,4800.0,7463
0,1,0,65.4,53.0,2,108,3.62,2.64,5200.0,10198
0,0,0,65.4,54.9,2,108,3.62,2.64,4800.0,8013
1,0,0,65.4,54.9,2,108,3.62,2.64,4800.0,11694
0,1,0,63.6,54.5,2,92,3.05,3.03,4800.0,5348
0,1,0,63.6,54.5,2,92,3.05,3.03,4800.0,6338
0,1,0,63.6,54.5,2,92,3.05,3.03,4800.0,6488
0,1,0,63.6,59.1,2,92,3.05,3.03,4800.0,6918
0,0,0,63.6,59.1,2,92,3.05,3.03,4800.0,7898
0,0,0,63.6,59.1,2,92,3.05,3.03,4800.0,8778
0,1,0,64.4,53.0,2,98,3.19,3.03,4800.0,6938
0,1,0,64.4,52.8,2,98,3.19,3.03,4800.0,7198
0,1,0,64.4,53.0,2,110,3.27,3.35,4500.0,7898
0,1,0,64.4,52.8,2,110,3.27,3.35,4500.0,7788
0,1,0,64.4,53.0,2,98,3.19,3.03,4800.0,7738
0,1,0,64.4,52.8,2,98,3.19,3.03,4800.0,8358
0,1,0,64.4,52.8,2,98,3.19,3.03,4800.0,9258
0,2,0,64.0,52.6,2,98,3.19,3.03,4800.0,8058
0,2,0,64.0,52.6,2,98,3.19,3.03,4800.0,8238
0,2,0,64.0,52.6,2,98,3.24,3.08,6600.0,9298
0,2,0,64.0,52.6,2,98,3.24,3.08,6600.0,9538
0,2,0,65.6,52.0,2,146,3.62,3.5,4800.0,8449
0,2,0,65.6,52.0,2,146,3.62,3.5,4800.0,9639
0,2,0,65.6,52.0,2,146,3.62,3.5,4800.0,9989
0,2,0,65.6,52.0,2,146,3.62,3.5,4800.0,11199
0,2,0,65.6,52.0,2,146,3.62,3.5,4800.0,11549
0,2,0,65.6,53.0,2,146,3.62,3.5,4800.0,17669
0,1,0,66.5,54.9,2,122,3.31,3.54,4200.0,8948
1,1,0,66.5,54.9,2,110,3.27,3.35,4500.0,10698
0,1,0,66.5,53.9,2,122,3.31,3.54,4200.0,9988
0,1,0,66.5,54.9,2,122,3.31,3.54,4200.0,10898
0,1,0,66.5,53.9,2,122,3.31,3.54,4200.0,11248
0,2,0,67.7,52.0,3,171,3.27,3.35,5200.0,16558
0,2,0,67.7,52.0,3,171,3.27,3.35,5200.0,15998
0,2,0,66.5,54.1,3,171,3.27,3.35,5200.0,15690
0,2,0,66.5,54.1,3,161,3.27,3.35,5200.0,15750
0,1,0,65.5,55.7,2,97,3.01,3.4,4800.0,7775
0,1,0,65.5,55.7,2,109,3.19,3.4,5250.0,7975
0,1,0,65.5,55.7,2,97,3.01,3.4,4800.0,7995
0,1,0,65.5,55.7,2,109,3.19,3.4,5250.0,8195
0,1,0,65.5,55.7,2,109,3.19,3.4,5250.0,8495
1,1,0,65.5,55.7,2,97,3.01,3.4,4500.0,9495
0,1,0,65.5,55.7,2,109,3.19,3.4,5500.0,9995
0,1,0,64.2,55.6,2,109,3.19,3.4,5500.0,11595
0,1,0,64.0,51.4,2,109,3.19,3.4,5500.0,9980
0,1,0,66.9,55.1,1,136,3.19,3.4,5500.0,13295
1,1,0,66.9,55.1,2,97,3.01,3.4,4500.0,13845
0,1,0,66.9,55.1,2,109,3.19,3.4,5500.0,12290
0,2,0,67.2,56.2,2,141,3.78,3.15,5400.0,12940
0,2,0,67.2,57.5,2,141,3.78,3.15,5400.0,13415
0,2,0,67.2,56.2,2,141,3.78,3.15,5400.0,15985
0,2,0,67.2,57.5,2,141,3.78,3.15,5400.0,16515
1,2,0,67.2,56.2,2,130,3.62,3.15,5100.0,18420
1,2,0,67.2,57.5,2,130,3.62,3.15,5100.0,18950
0,2,0,68.9,55.5,2,141,3.78,3.15,5400.0,16845
1,2,0,68.8,55.5,2,141,3.78,3.15,5300.0,19045
0,2,0,68.9,55.5,3,173,3.58,2.87,5500.0,21485
1,2,0,68.9,55.5,3,145,3.01,3.4,4800.0,22470
1,2,0,68.9,55.5,2,141,3.78,3.15,5400.0,22625
